Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.11733046286329385,0.10873983739837398,0.11906976744186047,0.11413043478260868,0.12861136999068035,0.1261510128913444,0.125,0.07963709677419355,0.16117216117216118,0.15875754961173424,0.13043478260869565,0.05962854349951125,0.12857142857142856,0.11652340019102195,0.13686131386861314,0.13315926892950392,0.14066496163682865,0.12878133102852204,0.12146118721461187,0.08937437934458789,0.15194681861348527,0.16380090497737554,0.12254901960784312,0.061052631578947365,0.1154639175257732,0.09090909090909093,0.10957551826258638,0.10829268292682928,0.11935807422266802,0.08663883089770355,0.08545034642032333,0.06826801517067002,0.09410288582183186,0.11248454882571077,0.07898259705488621,0.03669724770642202,0.08403361344537816,0.041939711664482314,0.08045977011494253,0.09523809523809523,0.0782122905027933,0.08875,0.07462686567164177,0.07407407407407407,0.1188118811881188,0.1368421052631579,0.1043872919818457,0.045454545454545456,0.08532423208191127,0.0784313725490196,0.07384615384615385,0.08038147138964577,0.0959792477302205,0.1141552511415525,0.06962025316455696,0.04690117252931323,0.121580547112462,0.10296191819464036,0.07177814029363784,0.03740157480314961,0.08778625954198473,0.06540447504302926,0.08493589743589744,0.07902298850574713,0.10070921985815603,0.07401812688821753,0.1011608623548922,0.05338078291814947,0.14285714285714285,0.12978142076502733,0.12405446293494705,0.06591337099811675,0.12216404886561955,0.10550458715596332,0.09271523178807947,0.12531017369727046,0.14963503649635038,0.1384217335058215,0.10926694329183956,0.09431137724550898,0.16580976863753213,0.14424242424242426,0.11944091486658195,0.07099697885196375,0.15639097744360902,0.09857142857142856,0.09634146341463416,0.12696493349455865,0.1325581395348837,0.1572629051620648,0.11300919842312747,0.07772795216741404,0.16005121638924455,0.13356973995271867,0.1225,0.039097744360902256,0.1446629213483146,0.1301460823373174,0.13784461152882205,0.1817204301075269,0.15225563909774434,0.14995131450827653,0.13205537806176784,0.09194097616345062,0.19117647058823528
All Midtown,Manhattan,submarket,0.1415929203539823,0.12835249042145594,0.13035551504102094,0.1431064572425829,0.15418502202643172,0.15649867374005305,0.10599078341013823,0.09134157944814462,0.1589519650655022,0.16037735849056606,0.12984670874661858,0.06349206349206349,0.1357421875,0.11882998171846434,0.16095890410958905,0.1636520241171404,0.16441821247892074,0.17073170731707318,0.12588028169014084,0.08494921514312095,0.17652411282984531,0.1691240242844753,0.13692579505300356,0.06303724928366762,0.16147308781869688,0.11814744801512288,0.15288888888888888,0.1375985977212971,0.13263525305410126,0.1167420814479638,0.11278195488721805,0.07768924302788845,0.1111111111111111,0.12389380530973453,0.08997955010224949,0.06331877729257641,0.09322033898305083,0.0776495278069255,0.09205020920502092,0.10880316518298716,0.11639185257032007,0.122279792746114,0.07912087912087913,0.06105006105006105,0.12066905615292713,0.15280898876404495,0.09035409035409037,0.057746478873239436,0.1095505617977528,0.07547169811320754,0.10012836970474967,0.10327455919395466,0.10062111801242236,0.1424802110817942,0.0993103448275862,0.07418397626112759,0.11740890688259108,0.11225806451612903,0.09483960948396096,0.05727554179566564,0.09134615384615384,0.0712166172106825,0.09782608695652174,0.11757269279393172,0.125,0.09957924263674614,0.09956076134699854,0.07142857142857142,0.12259970457902512,0.13877551020408166,0.10488505747126436,0.055369127516778534,0.11147540983606558,0.0963302752293578,0.10152990264255912,0.12985274431057564,0.14133333333333334,0.16805555555555554,0.09433962264150944,0.09442724458204334,0.1615598885793872,0.14360313315926893,0.10198675496688743,0.05829596412556054,0.12857142857142856,0.09130434782608696,0.11318242343541945,0.10588235294117647,0.1379746835443038,0.10718789407313996,0.12038303693570453,0.062228654124457314,0.15267175572519084,0.1477832512315271,0.11772486772486772,0.06814814814814815,0.14809590973201692,0.12886597938144329,0.1214622641509434,0.1785334750265675,0.1838610827374872,0.15800636267232238,0.14133900106269925,0.09020044543429843,0.18583162217659135
All Upper East Side,Manhattan,submarket,0.10902777777777778,0.1424802110817942,0.13960639606396066,0.1328125,0.13202933985330073,0.14142049025769954,0.1036988110964333,0.08506224066390043,0.16839378238341968,0.15532178217821782,0.13719320327249845,0.056539509536784736,0.15251989389920426,0.101628664495114,0.16482164821648215,0.1295843520782396,0.18054711246200608,0.16209476309226933,0.10773298083278256,0.0650759219088937,0.16307277628032346,0.15749039692701666,0.1262660364618501,0.06937269372693727,0.15942028985507245,0.13533333333333333,0.1328077622801698,0.13906056860321386,0.12990196078431376,0.13642297650130547,0.0839112343966713,0.07554225878833208,0.1468224981738495,0.13077469793887705,0.08081570996978851,0.03787878787878788,0.10883280757097792,0.07760532150776052,0.0847457627118644,0.10861948142957252,0.09218859957776214,0.10030864197530864,0.07624113475177305,0.03757225433526012,0.11807447774750228,0.13253012048192772,0.09350393700787403,0.052690582959641255,0.10167714884696016,0.0845213849287169,0.11381322957198445,0.11027332704995288,0.1044362292051756,0.10358565737051792,0.07426778242677824,0.051685393258426963,0.12648221343873514,0.12164579606440072,0.10467479674796748,0.061728395061728385,0.10888888888888887,0.07172557172557173,0.09219858156028367,0.10597302504816956,0.1253616200578592,0.1300097751710655,0.08270676691729323,0.058682634730538925,0.1320754716981132,0.1329243353783231,0.11393805309734513,0.05493133583021224,0.14393939393939395,0.09353348729792148,0.1238390092879257,0.15304182509505704,0.13922859830667922,0.12535612535612534,0.08966244725738398,0.05238649592549476,0.19151251360174104,0.14257620452310718,0.12266112266112268,0.052318668252080855,0.14073226544622425,0.09006211180124224,0.1140096618357488,0.13174748398902106,0.13214285714285715,0.11235955056179776,0.10427010923535253,0.060737527114967466,0.15953307392996108,0.1711229946524064,0.11731843575418995,0.053069719042663895,0.13872255489021956,0.14051094890510948,0.11804384485666106,0.1940639269406393,0.17253521126760565,0.14191660570592535,0.12123613312202852,0.0890829694323144,0.1888111888111888
All Upper Manhattan,Manhattan,submarket,0.08126410835214448,0.10596026490066224,0.1506276150627615,0.13582677165354332,0.15918367346938775,0.12551440329218108,0.1058091286307054,0.11940298507462685,0.10039370078740158,0.16044776119402984,0.10097087378640776,0.06889352818371608,0.11570247933884298,0.1237721021611002,0.1192170818505338,0.13527397260273974,0.1440536013400335,0.12941176470588234,0.10588235294117647,0.08394160583941605,0.1168141592920354,0.16163410301953818,0.10382513661202186,0.05859375,0.12085769980506822,0.11045364891518736,0.12284069097888675,0.09770114942528736,0.10056925996204934,0.10424710424710423,0.08997955010224949,0.10367170626349892,0.12280701754385966,0.10688836104513064,0.061728395061728385,0.036458333333333336,0.06149732620320856,0.0443213296398892,0.05070422535211268,0.059431524547803614,0.06138107416879796,0.07008086253369272,0.07816711590296496,0.056047197640117986,0.08357348703170027,0.10857142857142857,0.04984423676012461,0.03436426116838488,0.03832752613240418,0.0462046204620462,0.0436241610738255,0.06079027355623101,0.08719346049046321,0.05187319884726225,0.07352941176470587,0.05844155844155844,0.0924092409240924,0.06645569620253164,0.05844155844155844,0.05725190839694656,0.05859375,0.07749077490774907,0.028673835125448032,0.07063197026022305,0.06785714285714285,0.06506849315068493,0.05363984674329502,0.024489795918367342,0.07518796992481203,0.07720588235294118,0.062015503875968984,0.04166666666666666,0.055299539170506916,0.03448275862068965,0.08396946564885496,0.07636363636363637,0.06690140845070422,0.09252669039145907,0.1082089552238806,0.06451612903225806,0.11026615969581748,0.1015625,0.08547008547008547,0.04591836734693878,0.05583756345177665,0.0514018691588785,0.08583690987124462,0.05761316872427984,0.06273062730627306,0.05090909090909091,0.12015503875968993,0.06374501992031872,0.08992805755395683,0.09183673469387756,0.09764309764309764,0.0421455938697318,0.07421875,0.07480314960629922,0.0842911877394636,0.09540636042402828,0.1153846153846154,0.11935483870967742,0.13125,0.09897610921501708,0.17197452229299362
All Upper West Side,Manhattan,submarket,0.13568521031207598,0.12898936170212766,0.1351010101010101,0.16686251468860164,0.12753277711561384,0.1407942238267148,0.10911424903722723,0.05364511691884457,0.14702154626109,0.1668639053254438,0.1375,0.05502063273727648,0.15304798962386512,0.10664993726474277,0.15746180963572268,0.1515837104072398,0.18835616438356165,0.19190751445086704,0.11662531017369727,0.09946236559139784,0.16728624535315986,0.2044334975369458,0.1434010152284264,0.0728862973760933,0.1547945205479452,0.1484375,0.11822660098522167,0.12376237623762375,0.1346153846153846,0.14427157001414428,0.0943089430894309,0.05605786618444846,0.09075342465753423,0.099510603588907,0.07678883071553229,0.0425531914893617,0.06126482213438735,0.08712121212121213,0.07640067911714771,0.10558069381598792,0.1133720930232558,0.09283387622149836,0.1088929219600726,0.08712871287128712,0.14233576642335766,0.1233108108108108,0.09404990403071016,0.05555555555555555,0.11358574610244987,0.0951417004048583,0.1001890359168242,0.10052910052910052,0.12871287128712872,0.1182608695652174,0.10614525139664804,0.04914529914529914,0.13909774436090225,0.12089810017271158,0.09702970297029703,0.06862745098039216,0.11217183770883056,0.054229934924078085,0.08316008316008316,0.08043875685557587,0.08759124087591241,0.10131332082551596,0.07855626326963906,0.07673860911270983,0.1279826464208243,0.1553030303030303,0.12446351931330472,0.08179419525065962,0.1408839779005525,0.09002433090024331,0.10515463917525772,0.12546125461254612,0.1162361623616236,0.16085271317829458,0.1158129175946548,0.061728395061728385,0.15555555555555556,0.13537906137184114,0.1442687747035573,0.055288461538461536,0.1391509433962264,0.08944954128440367,0.12090163934426228,0.1123388581952118,0.1461794019933555,0.1396551724137931,0.10223048327137546,0.06567796610169492,0.1651705565529623,0.18454258675078866,0.14915254237288136,0.06504065040650407,0.14230019493177387,0.1420345489443378,0.11964285714285715,0.18479880774962745,0.196927374301676,0.1786743515850144,0.15076923076923074,0.10281923714759536,0.21842496285289748
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,0.15789473684210525,,0.2916666666666667,0.09523809523809523,0.3,0.09523809523809523,,,,,0.21052631578947367,,0.0,,0.0,0.04,0.06896551724137931,0.14814814814814814,,,,,,0.0,,0.16666666666666666,,0.15789473684210525,,0.07142857142857142,0.027777777777777776,0.0,0.019230769230769232,0.019230769230769232,0.027027027027027032,,,,,0.0,0.043478260869565216,,,,,,0.037037037037037035,0.04,0.0,0.04,,0.0,0.037037037037037035,0.08333333333333333,0.08695652173913042,,,0.0,0.0,0.043478260869565216,,0.13636363636363635,,0.19047619047619047,0.25,0.1,0.0,,,0.15789473684210525,0.05,0.2380952380952381,0.07407407407407407,0.1891891891891892,0.18604651162790695,0.1794871794871795,0.08108108108108109,0.075,0.1891891891891892,0.1,0.037037037037037035,0.043478260869565216,0.1851851851851852,0.3225806451612903,0.16666666666666666,0.1,0.17073170731707318,0.16279069767441862,0.24444444444444444
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
